name,age,nationality,team,mascot,position,games_played,goals,assists,points
Brady Austin,24,CAN,BUF,sabres,D,5,0,0,0
Justin Bailey,22,USA,BUF,sabres,RW,32,2,2,4
Nicholas Baptiste,22,CAN,BUF,sabres,RW,14,3,1,4
Noel Acciari,26,USA,BOS,bruins,C,29,2,3,5
Zach Bogosian,27,USA,BUF,sabres,D,56,2,9,11
Erik Burgdoerfer,29,USA,BUF,sabres,D,2,0,0,0
William Carrier,23,CAN,BUF,sabres,LW,41,5,3,8
Nicolas Deslauriers,26,CAN,BUF,sabres,LW,42,0,2,2
Jack Eichel,21,USA,BUF,sabres,C,61,24,33,57
Tyler Ennis,28,CAN,BUF,sabres,LW/C/RW,51,5,8,13
Justin Falk,29,CAN,BUF,sabres,D,52,0,8,8
Hudson Fasching,22,USA,BUF,sabres,RW,10,0,1,1
Taylor Fedun,29,CAN,BUF,sabres,D,27,0,7,7
Marcus Foligno,26,USA,BUF,sabres,LW,80,13,10,23
Cody Franson,30,CAN,BUF,sabres,D,68,3,16,19
Brian Gionta,38,USA,BUF,sabres,RW,82,15,20,35
Zemgus Girgensons,23,LVA,BUF,sabres,C/LW,75,7,9,16
Josh Gorges,33,CAN,BUF,sabres,D,66,1,5,6
Brendan Guhle,20,CAN,BUF,sabres,D,3,0,0,0
David Backes,33,USA,BOS,bruins,RW/C,74,17,21,38
Evander Kane,26,CAN,BUF,sabres,LW,70,28,15,43
Dmitry Kulikov,27,RUS,BUF,sabres,D,47,2,3,5
Johan Larsson,25,SWE,BUF,sabres,C/LW,36,6,5,11
Sean Malone,22,USA,BUF,sabres,C,1,0,0,0
Jake McCabe,24,USA,BUF,sabres,D,76,3,17,20
Matt Moulson,34,CAN,BUF,sabres,LW,81,14,18,32
Casey Nelson,25,USA,BUF,sabres,D,11,0,0,0
Alex Nylander,19,CAN,BUF,sabres,RW/LW,4,0,1,1
Cal O'Reilly,31,CAN,BUF,sabres,C,11,0,1,1
Ryan O'Reilly,26,CAN,BUF,sabres,C/LW/RW,72,20,35,55
Kyle Okposo,29,USA,BUF,sabres,RW,65,19,26,45
Sam Reinhart,22,CAN,BUF,sabres,C,79,17,30,47
Rasmus Ristolainen,23,FIN,BUF,sabres,D,79,6,39,45
Evan Rodrigues,24,CAN,BUF,sabres,LW/C,30,4,2,6
Cole Schneider,27,USA,BUF,sabres,LW/RW,4,0,1,1
C.J. Smith,23,USA,BUF,sabres,LW/RW,2,0,1,1
Derek Grant,27,CAN,BUF/NSH,sabres,C,46,0,4,4
Sebastian Aho,20,FIN,CAR,hurricanes,RW/LW,82,24,25,49
Bryan Bickell,31,CAN,CAR,hurricanes,LW,11,1,0,1
Patrick Brown,25,USA,CAR,hurricanes,C,14,0,0,0
Matt Beleskey,29,CAN,BOS,bruins,LW,49,3,5,8
Klas Dahlbeck,26,SWE,CAR,hurricanes,D,43,2,4,6
Phillip Di Giuseppe,24,CAN,CAR,hurricanes,LW,36,1,6,7
Justin Faulk,25,USA,CAR,hurricanes,D,75,17,20,37
Martin Frk,24,CZE,CAR,hurricanes,RW,2,0,0,0
Noah Hanifin,20,USA,CAR,hurricanes,D,81,4,25,29
Elias Lindholm,23,SWE,CAR,hurricanes,C/RW,72,11,34,45
Patrice Bergeron,32,CAN,BOS,bruins,C,79,21,32,53
Jay McClement,34,CAN,CAR,hurricanes,C,65,5,3,8
Brock McGinn,23,CAN,CAR,hurricanes,LW,57,7,9,16
Ryan Murphy,24,CAN,CAR,hurricanes,D,27,0,2,2
Jakub Nakladal,30,CZE,CAR,hurricanes,D,3,0,0,0
Andrej Nestrasil,26,CZE,CAR,hurricanes,C/RW/LW,19,1,4,5
Kevin Bieksa,36,CAN,ANA,ducks,D,81,3,11,14
Joakim Nordstrom,25,SWE,CAR,hurricanes,LW/C,82,7,5,12
Brett Pesce,23,USA,CAR,hurricanes,D,82,2,18,20
Andrew Poturalski,23,USA,CAR,hurricanes,C,2,0,0,0
Victor Rask,24,SWE,CAR,hurricanes,C,82,16,29,45
Anton Blidh,22,SWE,BOS,bruins,LW,19,1,1,2
Derek Ryan,31,USA,CAR,hurricanes,C,67,11,18,29
Jeff Skinner,25,CAN,CAR,hurricanes,LW/C/RW,79,37,26,63
Jaccob Slavin,23,USA,CAR,hurricanes,D,82,5,29,34
Jordan Staal,29,CAN,CAR,hurricanes,C/LW,75,16,29,45
Jared Boll,31,USA,ANA,ducks,RW,51,0,3,3
Lee Stempniak,34,USA,CAR,hurricanes,RW,82,16,24,40
Matt Tennyson,27,USA,CAR,hurricanes,D,45,0,6,6
Teuvo Teravainen,23,FIN,CAR,hurricanes,LW/C/RW,81,15,27,42
Sergey Tolchinsky,22,RUS,CAR,hurricanes,LW,2,0,1,1
Lucas Wallmark,22,SWE,CAR,hurricanes,C,8,0,2,2
Valentin Zykov,22,RUS,CAR,hurricanes,LW,2,1,0,1
Viktor Stalberg,31,SWE,CAR/OTT,hurricanes,LW/RW,75,11,5,16
Ron Hainsey,36,USA,CAR/PIT,hurricanes,D,72,4,13,17
Ty Rattie,24,CAN,CAR/STL,hurricanes,RW,9,0,2,2
Josh Anderson,23,CAN,CBJ,bluejackets,RW,78,17,12,29
Cam Atkinson,28,USA,CBJ,bluejackets,RW,82,35,27,62
Oliver Bjorkstrand,22,DNK,CBJ,bluejackets,RW,26,6,7,13
