mascot,vs,opponent,date,time,timezone,chanceToWin
ducks,@,Avalanche,10/13/2017,7:00 PM,MT,60
ducks,@,Avalanche,1/15/2018,1:00 PM,MT,60
ducks,@,Blackhawks,11/27/2017,7:30 PM,CT,75
ducks,@,Blackhawks,2/15/2018,7:30 PM,CT,75
ducks,@,Blue Jackets,12/1/2017,7:00 PM,ET,76
ducks,@,Blues,11/29/2017,8:00 PM,CT,59
ducks,@,Blues,12/14/2017,7:00 PM,CT,59
ducks,@,Bruins,1/30/2018,7:00 PM,ET,76
ducks,@,Canadiens,2/3/2018,1:00 PM,ET,65
ducks,@,Canucks,1/2/2018,7:00 PM,PT,76
ducks,@,Canucks,3/27/2018,7:00 PM,PT,76
ducks,@,Capitals,12/16/2017,7:30 PM,ET,60
ducks,@,Coyotes,2/24/2018,6:00 PM,MT,74
ducks,@,Coyotes,4/7/2018,6:00 PM,MT,74
ducks,@,Devils,12/18/2017,7:00 PM,ET,70
ducks,vs.,Coyotes,10/5/2017,7:00 PM,PT,74
ducks,vs.,Flyers,10/7/2017,7:00 PM,PT,69
ducks,vs.,Flames,10/9/2017,7:00 PM,PT,81
ducks,vs.,Islanders,10/11/2017,7:00 PM,PT,80
ducks,vs.,Sabres,10/15/2017,6:00 PM,PT,75
ducks,vs.,Canadiens,10/20/2017,7:00 PM,PT,65
ducks,vs.,Maple Leafs,11/1/2017,7:00 PM,PT,79
ducks,vs.,Predators,11/3/2017,7:00 PM,PT,68
ducks,vs.,Kings,11/7/2017,7:00 PM,PT,69
ducks,vs.,Canucks,11/9/2017,7:00 PM,PT,76
ducks,vs.,Lightning,11/12/2017,5:00 PM,PT,64
ducks,vs.,Bruins,11/15/2017,7:00 PM,PT,76
ducks,vs.,Panthers,11/19/2017,5:00 PM,PT,80
ducks,vs.,Golden Knights,11/22/2017,7:00 PM,PT,85
ducks,vs.,Jets,11/24/2017,1:00 PM,PT,72
ducks,vs.,Senators,12/6/2017,7:00 PM,PT,64
ducks,vs.,Wild,12/8/2017,7:00 PM,PT,68
ducks,vs.,Hurricanes,12/11/2017,7:00 PM,PT,71
ducks,vs.,Golden Knights,12/27/2017,7:00 PM,PT,85
ducks,vs.,Flames,12/29/2017,7:00 PM,PT,81
ducks,vs.,Coyotes,12/31/2017,1:00 PM,PT,74
ducks,vs.,Penguins,1/17/2018,7:00 PM,PT,61
ducks,vs.,Kings,1/19/2018,7:00 PM,PT,69
ducks,vs.,Sharks,1/21/2018,6:00 PM,PT,64
ducks,vs.,Rangers,1/23/2018,7:00 PM,PT,65
ducks,vs.,Jets,1/25/2018,7:00 PM,PT,72
ducks,vs.,Oilers,2/9/2018,7:00 PM,PT,75
ducks,vs.,Sharks,2/11/2018,5:00 PM,PT,64
ducks,vs.,Stars,2/21/2018,7:00 PM,PT,69
ducks,vs.,Oilers,2/25/2018,5:00 PM,PT,75
ducks,vs.,Blue Jackets,3/2/2018,7:00 PM,PT,76
ducks,vs.,Blackhawks,3/4/2018,1:00 PM,PT,75
ducks,vs.,Capitals,3/6/2018,7:00 PM,PT,60
ducks,vs.,Blues,3/12/2018,7:00 PM,PT,59
ducks,vs.,Canucks,3/14/2018,7:00 PM,PT,76
ducks,vs.,Red Wings,3/16/2018,7:00 PM,PT,70
ducks,vs.,Devils,3/18/2018,6:00 PM,PT,70
ducks,vs.,Kings,3/30/2018,7:00 PM,PT,69
ducks,vs.,Avalanche,4/1/2018,6:00 PM,PT,60
ducks,vs.,Wild,4/4/2018,7:00 PM,PT,68
ducks,vs.,Stars,4/6/2018,7:00 PM,PT,69
ducks,@,Flames,1/6/2018,8:00 PM,MT,81
ducks,@,Flames,3/21/2018,7:30 PM,MT,81
ducks,@,Flyers,10/24/2017,7:00 PM,ET,69
ducks,@,Golden Knights,12/5/2017,7:00 PM,MT,85
ducks,@,Golden Knights,2/19/2018,7:00 PM,MT,85
ducks,@,Hurricanes,10/29/2017,5:00 PM,ET,71
ducks,@,Islanders,12/21/2017,7:00 PM,ET,80
ducks,@,Jets,3/23/2018,7:00 PM,CT,72
ducks,@,Kings,11/25/2017,7:30 PM,PT,69
ducks,@,Kings,1/13/2018,7:30 PM,PT,69
ducks,@,Lightning,10/28/2017,7:00 PM,ET,64
ducks,@,Maple Leafs,2/5/2018,7:00 PM,ET,79
ducks,@,Oilers,1/4/2018,7:00 PM,MT,75
ducks,@,Oilers,3/25/2018,7:30 PM,MT,75
ducks,@,Panthers,10/26/2017,7:30 PM,ET,80
ducks,@,Penguins,12/23/2017,7:00 PM,ET,61
ducks,@,Predators,12/2/2017,7:00 PM,CT,68
ducks,@,Predators,3/8/2018,7:00 PM,CT,68
ducks,@,Rangers,12/19/2017,7:00 PM,ET,65
ducks,@,Red Wings,2/13/2018,7:30 PM,ET,70
ducks,@,Sabres,2/6/2018,7:00 PM,ET,75
ducks,@,Senators,2/1/2018,7:30 PM,ET,64
ducks,@,Sharks,11/4/2017,7:30 PM,PT,64
ducks,@,Sharks,11/20/2017,7:30 PM,PT,64
ducks,@,Stars,3/9/2018,7:30 PM,CT,69
ducks,@,Wild,2/17/2018,1:00 PM,CT,68
coyotes,@,Avalanche,12/27/2017,7:00 PM,MT,32
coyotes,@,Avalanche,3/10/2018,1:00 PM,MT,32
coyotes,@,Blackhawks,12/10/2017,6:00 PM,CT,47
coyotes,@,Blue Jackets,12/9/2017,7:00 PM,ET,48
coyotes,@,Blues,11/9/2017,7:00 PM,CT,31
coyotes,@,Blues,1/20/2018,7:00 PM,CT,31
coyotes,@,Bruins,12/7/2017,7:00 PM,ET,48
coyotes,@,Canadiens,11/16/2017,7:30 PM,ET,37
coyotes,@,Canucks,3/7/2018,7:00 PM,PT,48
coyotes,@,Canucks,4/5/2018,7:00 PM,PT,48
coyotes,@,Capitals,11/6/2017,7:00 PM,ET,32
coyotes,vs.,Golden Knights,10/7/2017,6:00 PM,MT,57
coyotes,vs.,Red Wings,10/12/2017,7:00 PM,MT,42
coyotes,vs.,Bruins,10/14/2017,6:00 PM,MT,48
coyotes,vs.,Stars,10/19/2017,7:00 PM,MT,41
coyotes,vs.,Blackhawks,10/21/2017,6:00 PM,MT,47
coyotes,vs.,Sabres,11/2/2017,7:00 PM,MT,47
coyotes,vs.,Hurricanes,11/4/2017,6:00 PM,MT,43
coyotes,vs.,Jets,11/11/2017,8:00 PM,MT,44
coyotes,vs.,Sharks,11/22/2017,7:00 PM,MT,36
coyotes,vs.,Kings,11/24/2017,7:00 PM,MT,41
coyotes,vs.,Golden Knights,11/25/2017,6:00 PM,MT,57
coyotes,vs.,Devils,12/2/2017,6:00 PM,MT,42
coyotes,vs.,Lightning,12/14/2017,7:00 PM,MT,36
coyotes,vs.,Penguins,12/16/2017,6:00 PM,MT,33
coyotes,vs.,Panthers,12/19/2017,7:00 PM,MT,52
coyotes,vs.,Capitals,12/22/2017,7:00 PM,MT,32
coyotes,vs.,Avalanche,12/23/2017,6:00 PM,MT,32
coyotes,vs.,Maple Leafs,12/28/2017,7:00 PM,MT,51
coyotes,vs.,Predators,1/4/2018,7:00 PM,MT,40
coyotes,vs.,Rangers,1/6/2018,6:00 PM,MT,37
coyotes,vs.,Oilers,1/12/2018,7:00 PM,MT,47
coyotes,vs.,Sharks,1/16/2018,7:00 PM,MT,36
coyotes,vs.,Islanders,1/22/2018,7:00 PM,MT,52
coyotes,vs.,Blue Jackets,1/25/2018,7:00 PM,MT,48
coyotes,vs.,Stars,2/1/2018,7:00 PM,MT,41
coyotes,vs.,Flyers,2/10/2018,6:00 PM,MT,41
coyotes,vs.,Blackhawks,2/12/2018,7:00 PM,MT,47
coyotes,vs.,Canadiens,2/15/2018,7:00 PM,MT,37
coyotes,vs.,Oilers,2/17/2018,2:00 PM,MT,47
coyotes,vs.,Flames,2/22/2018,7:00 PM,MT,53
coyotes,vs.,Ducks,2/24/2018,6:00 PM,MT,32
coyotes,vs.,Canucks,2/25/2018,7:30 PM,MT,48
coyotes,vs.,Wild,3/1/2018,7:00 PM,MT,40
coyotes,vs.,Senators,3/3/2018,6:00 PM,MT,36
coyotes,vs.,Canucks,3/11/2018,6:00 PM,MT,48
coyotes,vs.,Kings,3/13/2018,7:00 PM,MT,41
coyotes,vs.,Predators,3/15/2018,7:00 PM,MT,40
coyotes,vs.,Wild,3/17/2018,6:00 PM,MT,40
